"ndvi","evi","doy","site","veg"
0.504934668540955,0.200135320425034,193.462604166667,"Shrub3","s"
0.517634868621826,0.206467092037201,193.462604166667,"Shrub4","s"
NA,NA,193.462604166667,"Shrub5","s"
NA,NA,193.462604166667,"Shrub6","s"
0.529472351074219,0.216116830706596,193.462604166667,"Shrub7","s"
0.559284746646881,0.229173704981804,193.462604166667,"Shrub8","s"
0.576759040355682,0.243206188082695,193.462604166667,"Shrub9","s"
0.533518850803375,0.216436445713043,193.462604166667,"Shrub10","s"
0.509835541248322,0.184558272361755,193.462604166667,"Shrub11","s"
0.53764933347702,0.215873092412949,193.462604166667,"Shrub13","s"
0.559340357780457,0.228452175855637,193.462604166667,"Shrub14","s"
0.576634228229523,0.236968442797661,193.462604166667,"Shrub15","s"
NA,NA,193.462604166667,"Forest1","f"
0.103101916611195,0.0327238626778126,193.462604166667,"Forest2","f"
NA,NA,193.462604166667,"Forest3","f"
NA,NA,193.462604166667,"Forest4","f"
NA,NA,193.462604166667,"Forest5","f"
NA,NA,193.462604166667,"Forest6","f"
NA,NA,193.462604166667,"Forest7","f"
NA,NA,193.462604166667,"Forest8","f"
NA,NA,193.462604166667,"Forest9","f"
NA,NA,193.462604166667,"Forest10","f"
NA,NA,193.462604166667,"Forest11","f"
NA,NA,193.462604166667,"Forest12","f"
0.461785495281219,0.161871314048767,193.462604166667,"Forest13","f"
0.185051396489143,0.063597559928894,193.462604166667,"Forest14","f"
0.267615288496017,0.0955605059862137,193.462604166667,"Forest15","f"
NA,NA,193.462604166667,"FP1","fp"
NA,NA,193.462604166667,"FP2","fp"
NA,NA,193.462604166667,"FP3","fp"
NA,NA,193.462604166667,"FP4","fp"
NA,NA,193.462604166667,"FP5","fp"
NA,NA,193.462604166667,"FP6","fp"
NA,NA,193.462604166667,"FP7","fp"
NA,NA,193.462604166667,"FP8","fp"
NA,NA,193.462604166667,"FP9","fp"
NA,NA,193.462604166667,"FP10","fp"
0.604066371917725,0.267275869846344,200.4659375,"ForestShrub2","fs"
0.639155447483063,0.288390159606934,200.4659375,"ForestShrub1","fs"
0.611668169498444,0.211818933486938,200.4659375,"Shrub1","s"
0.607223451137543,0.208559468388557,200.4659375,"Shrub2","s"
0.52604466676712,0.150734812021255,200.4659375,"Shrub3","s"
0.676436126232147,0.206721127033234,200.4659375,"Shrub4","s"
0.723938763141632,0.346644163131714,200.4659375,"Shrub5","s"
0.661879122257233,0.29545333981514,200.4659375,"Shrub6","s"
0.587561368942261,0.17774623632431,200.4659375,"Shrub7","s"
0.628827154636383,0.213422432541847,200.4659375,"Shrub8","s"
0.677165329456329,0.23119056224823,200.4659375,"Shrub9","s"
0.636580526828766,0.241550996899605,200.4659375,"Shrub10","s"
0.557245075702667,0.184965267777443,200.4659375,"Shrub11","s"
0.596320927143097,0.190817221999168,200.4659375,"Shrub13","s"
0.588344693183899,0.160923823714256,200.4659375,"Shrub14","s"
0.629013061523438,0.183051317930222,200.4659375,"Shrub15","s"
0.596945285797119,0.207865506410599,200.4659375,"Forest1","f"
0.595114707946777,0.224712818861008,200.4659375,"Forest2","f"
0.596244156360626,0.209094181656837,200.4659375,"Forest3","f"
0.56988388299942,0.201307147741318,200.4659375,"Forest4","f"
0.567789673805237,0.200592190027237,200.4659375,"Forest5","f"
0.538878858089447,0.175635054707527,200.4659375,"Forest6","f"
0.580159425735474,0.194298595190048,200.4659375,"Forest7","f"
0.542489290237427,0.179724156856537,200.4659375,"Forest8","f"
0.61424332857132,0.217842325568199,200.4659375,"Forest9","f"
0.559158623218536,0.189632624387741,200.4659375,"Forest10","f"
0.539555549621582,0.177589237689972,200.4659375,"Forest11","f"
0.629001140594482,0.233460247516632,200.4659375,"Forest12","f"
0.593658745288849,0.211699247360229,200.4659375,"Forest13","f"
0.663062453269958,0.27142408490181,200.4659375,"Forest14","f"
0.634535372257233,0.253933906555176,200.4659375,"Forest15","f"
0.688267171382904,0.312297612428665,200.4659375,"FP1","fp"
0.693816900253296,0.313937544822693,200.4659375,"FP2","fp"
0.674655497074127,0.301666408777237,200.4659375,"FP3","fp"
0.683908045291901,0.316826403141022,200.4659375,"FP4","fp"
0.660031855106354,0.247617915272713,200.4659375,"FP5","fp"
0.526543438434601,0.179774984717369,200.4659375,"FP6","fp"
0.573937177658081,0.186218068003654,200.4659375,"FP7","fp"
